所属区域,小区名称,房屋价格,房屋面积,户型
整租·大方居 2室1厅 东/西,通州-九棵树(家乐福)-大方居,4100 元/月,87.01㎡,/
整租·盛德紫阙 1室1厅 东,东城-和平里-盛德紫阙,13200 元/月,88.96㎡,/
整租·福兴雅苑 2室1厅 东,大兴-黄村火车站-福兴雅苑,4200 元/月,94.00㎡,/
整租·蓝调沙龙西区 1室1厅 东,精选,4330 元/月,通州-九棵树(家乐福)-蓝调沙龙西区,/
整租·高楼金地 1室1厅 北,精选,3530 元/月,通州-临河里-高楼金地,/
整租·碧水云天 3室2厅 南/北,海淀-万柳-碧水云天,29000 元/月,141.16㎡,/
整租·西果园小区 2室1厅 东/西,通州-通州北苑-西果园小区,4500 元/月,69.40㎡,/
整租·邓家窑 2室1厅 南,精选,6090 元/月,通州-北关-邓家窑,/
整租·金域华府二期 2室1厅 南/北,昌平-回龙观-金域华府二期,7900 元/月,79.97㎡,/
整租·北京东湾 1室1厅 东,精选,5500 元/月,通州-万达-北京东湾,/
整租·新建村 2室1厅 西南,精选,5000 元/月,通州-北关-新建村,/
整租·北京华侨城1号院 2室1厅 南/北,朝阳-欢乐谷-北京华侨城1号院,10000 元/月,124.00㎡,/
整租·北京华侨城2号院 3室2厅 南/北,朝阳-欢乐谷-北京华侨城2号院,11000 元/月,138.08㎡,/
整租·世纪东方城 2室1厅 南,朝阳-欢乐谷-世纪东方城,8500 元/月,103.00㎡,/
整租·电信小区 2室1厅 南/北,海淀-军博-电信小区,7000 元/月,54.10㎡,/
整租·东大桥路 2室1厅 东,精选,7260 元/月,朝阳-朝阳门外-东大桥路,/
整租·巧克力城 2室1厅 南/北,大兴-旧宫-巧克力城,5000 元/月,95.42㎡,/
整租·西山壹号院北区 5室3厅 南/北,海淀-西北旺-西山壹号院北区,55000 元/月,430.75㎡,/
整租·菊园 3室1厅 东/南/北,海淀-马连洼-菊园,8500 元/月,82.33㎡,/
整租·芳星园二区 2室1厅 东/南,丰台-方庄-芳星园二区,7000 元/月,64.00㎡,/
整租·展览路 2室1厅 东/西,西城-阜成门-展览路,8000 元/月,65.20㎡,/
整租·首开万科城市之光 2房间 LOFT 东,精选,4200 元/月,通州-通州其它-首开万科城市之光,/
整租·保利大都汇 1室1厅 复式 西南,精选,5100 元/月,通州-万达-保利大都汇,/
整租·金地未未来 4房间 LOFT 南,精选,4100 元/月,顺义-顺义其它-金地未未来,/
整租·首开智慧社 2室1厅 南,精选,8430 元/月,昌平-回龙观-首开智慧社,/
整租·炫立方 1室1厅 东,精选,3560 元/月,顺义-顺义其它-炫立方,/
整租·长城国际 1室1厅 东,精选,4360 元/月,通州-通州北苑-长城国际,/
整租·西山美墅馆B区 3室2厅 南/北,海淀-西山-西山美墅馆B区,18000 元/月,150.00㎡,/
整租·苹果园小区一区 2室1厅 南,石景山-苹果园-苹果园小区一区,5600 元/月,58.20㎡,/
整租·宝钞苑 3室2厅 南/西/北,东城-安定门-宝钞苑,23000 元/月,190.00㎡,/
整租·康营家园四期A区 1室1厅 南,精选,4500 元/月,朝阳-中央别墅区-康营家园四期A区,/
整租·安慧东里 1室1厅 南,精选,6730 元/月,朝阳-亚运村小营-安慧东里,/
整租·金泰城丽湾 3室1厅 东南/北,丰台-菜户营-金泰城丽湾,13800 元/月,139.00㎡,/
整租·第三区 5房间 南/北,西城-马连道-第三区,14000 元/月,143.00㎡,/
整租·朝阳门南小街 2室1厅 东/西,东城-朝阳门内-朝阳门南小街,11400 元/月,76.00㎡,/
整租·华远澜悦 2房间 西,密云-密云镇-华远澜悦,2200 元/月,46.39㎡,/
整租·IDCITY艾迪城 2房间 北,顺义-后沙峪-IDCITY艾迪城,5600 元/月,45.00㎡,/
整租·清水园一期 2室1厅 南/北,昌平-立水桥-清水园一期,5500 元/月,68.54㎡,/
整租·凯德锦绣 4室1厅 南/北,朝阳-四惠-凯德锦绣,26000 元/月,155.00㎡,/
整租·金茂北京国际社区 2室1厅 南/北,顺义-顺义其它-金茂北京国际社区,3600 元/月,71.43㎡,/
整租·东大桥路 1室1厅 东/西,朝阳-朝阳门外-东大桥路,6900 元/月,46.86㎡,/
整租·枫丹壹号二期 3室1厅 南,亦庄开发区-亦庄开发区其它-枫丹壹号二期,8500 元/月,95.00㎡,/
整租·合生滨江帝景一期 2室1厅 南/北,通州-玉桥-合生滨江帝景一期,5500 元/月,90.00㎡,/
整租·金隅美和园东区 2室1厅 南,精选,7760 元/月,海淀-清河-金隅美和园东区,/
整租·旭辉E天地 2房间 西,精选,3230 元/月,房山-良乡-旭辉E天地,/
整租·宏盛西区 1室0厅 西北,大兴-西红门-宏盛西区,3350 元/月,29.96㎡,/
整租·光大名筑 2室1厅 南/北,朝阳-亚运村小营-光大名筑,9600 元/月,107.20㎡,/
整租·滨河小区 2室1厅 南/北,顺义-顺义城-滨河小区,2800 元/月,64.82㎡,/
整租·恒大未来城 4房间 LOFT 北,精选,6500 元/月,大兴-义和庄-恒大未来城,/
整租·泰禾中央广场 3房间 东,精选,4690 元/月,大兴-黄村火车站-泰禾中央广场,/
整租·方恒国际中心 1室1厅 东北,朝阳-望京-方恒国际中心,8000 元/月,70.00㎡,/
整租·上地东里 2室1厅 南/北,海淀-上地-上地东里,7500 元/月,63.00㎡,/
整租·金地名京 2室1厅 南,朝阳-四惠-金地名京,10500 元/月,85.61㎡,/
整租·住欣家园 1室1厅 南,精选,4890 元/月,朝阳-常营-住欣家园,/
整租·中天国际 1室0厅 南,朝阳-南沙滩-中天国际,6500 元/月,61.43㎡,/
整租·龙湖香醍漫步三区 2室2厅 南/北,顺义-马坡-龙湖香醍漫步三区,4800 元/月,93.51㎡,/
整租·明日嘉园 1室1厅 北,精选,5590 元/月,丰台-马家堡-明日嘉园,/
整租·光熙家园二期 3室2厅 南/北,朝阳-西坝河-光熙家园二期,16500 元/月,154.00㎡,/
整租·首开畅颐园 1室1厅 西,精选,5790 元/月,朝阳-东坝-首开畅颐园,/
整租·鹿港嘉苑 1室1厅 北,精选,8860 元/月,朝阳-望京-鹿港嘉苑,/
整租·金隅凤麟洲 2室2厅 错层 南/北,朝阳-朝青-金隅凤麟洲,9500 元/月,105.10㎡,/
整租·国风长安 2室1厅 东/西,丰台-青塔-国风长安,7100 元/月,89.00㎡,/
整租·观澳园 2室1厅 南/北,海淀-清河-观澳园,7500 元/月,71.20㎡,/
整租·南海雅苑北区 2室1厅 东,亦庄开发区-亦庄开发区其它-南海雅苑北区,4300 元/月,75.00㎡,/
整租·复兴门南大街 2室1厅 东/南,西城-木樨地-复兴门南大街,11000 元/月,62.10㎡,/
整租·义宾南区 2室1厅 南,精选,4160 元/月,顺义-顺义城-义宾南区,/
整租·世界城 1房间 北,朝阳-东大桥-世界城,12200 元/月,58.13㎡,/
整租·天鸿美域 3室2厅 南/北,丰台-青塔-天鸿美域,9500 元/月,153.00㎡,/
整租·御景园 3室2厅 东/南,朝阳-华威桥-御景园,18000 元/月,228.00㎡,/
整租·美景东方 2室1厅 西北,朝阳-华威桥-美景东方,7500 元/月,101.00㎡,/
整租·山水文园一期 2室2厅 南/北,朝阳-华威桥-山水文园一期,14500 元/月,116.00㎡,/
整租·美景东方 3室2厅 西,朝阳-华威桥-美景东方,11000 元/月,173.00㎡,/
整租·美景东方 1室2厅 北,朝阳-华威桥-美景东方,7200 元/月,82.60㎡,/
整租·山水文园二期 3室2厅 南/北,朝阳-华威桥-山水文园二期,18000 元/月,133.00㎡,/
整租·莲花池西路23号 3室1厅 南,精选,9590 元/月,丰台-六里桥-莲花池西路23号,/
整租·裕中西里 2室1厅 西南,精选,9190 元/月,西城-马甸-裕中西里,/
整租·吕营嘉园A区 3室2厅 南/北,朝阳-十里河-吕营嘉园A区,6500 元/月,137.00㎡,/
整租·周家庄中路18号院  2室1厅 南/北,朝阳-十里河-周家庄中路18号院,6800 元/月,93.00㎡,/
整租·霞光里30号院 2室1厅 东/南,朝阳-燕莎-霞光里30号院,7300 元/月,68.00㎡,/
整租·远洋新干线 4室2厅 复式 西,朝阳-燕莎-远洋新干线,32000 元/月,301.50㎡,/
整租·成府路20号院 2室1厅 南,精选,9030 元/月,海淀-五道口-成府路20号院,/
整租·霞光里30号院 3室1厅 西南/东北,朝阳-燕莎-霞光里30号院,9500 元/月,73.21㎡,/
整租·高斓大厦 2室1厅 东/南/北,朝阳-燕莎-高斓大厦,13000 元/月,123.82㎡,/
整租·霄云路8号 4室3厅 东/南/北,朝阳-燕莎-霄云路8号,140000 元/月,453.00㎡,/
整租·US联邦公寓 3室2厅 南/西,朝阳-燕莎-US联邦公寓,26500 元/月,235.00㎡,/
整租·黑山A5区 1室1厅 南,精选,3560 元/月,门头沟-大峪-黑山A5区,/
整租·怡清园 2室1厅 南,精选,8890 元/月,海淀-清河-怡清园,/
整租·霄云里8号 2房间 西南,朝阳-燕莎-霄云里8号,10500 元/月,100.90㎡,/
整租·建东苑 3室1厅 南/北,朝阳-管庄-建东苑,6900 元/月,120.00㎡,/
整租·天通中苑二区 3房间 南,精选,8890 元/月,昌平-天通苑-天通中苑二区,/
整租·龙头公寓 1室1厅 西,精选,6590 元/月,朝阳-华威桥-龙头公寓,/
整租·冠英园小区 2室1厅 南,精选,17990 元/月,西城-官园-冠英园小区,/
整租·南菜园街1号院 2室1厅 南,精选,6890 元/月,西城-白纸坊-南菜园街1号院,/
整租·方舟苑一期 2室1厅 西,精选,10890 元/月,朝阳-望京-方舟苑一期,/
整租·瑞祥里 2室1厅 南/北,朝阳-管庄-瑞祥里,4800 元/月,87.00㎡,/
整租·华龙美树 1室0厅 北,朝阳-管庄-华龙美树,4200 元/月,36.76㎡,/
整租·华龙美树 1室0厅 北,朝阳-管庄-华龙美树,4400 元/月,36.00㎡,/
整租·管庄西里 1室1厅 南,朝阳-管庄-管庄西里,4100 元/月,49.08㎡,/
整租·北京怡园 3室1厅 南/北,昌平-东关-北京怡园,5500 元/月,94.44㎡,/
整租·静源居 2室2厅 东,海淀-公主坟-静源居,12000 元/月,101.50㎡,/
整租·天恒旭辉7号院 6房间 南/北,大兴-大兴新机场-天恒旭辉7号院,7300 元/月,200.00㎡,/
整租·金宝城北区 2室1厅 南,顺义-马坡-金宝城北区,3600 元/月,91.85㎡,/
整租·向阳东里 2室1厅 南,精选,4130 元/月,门头沟-城子-向阳东里,/
整租·臻御府 3室1厅 南/北,丰台-科技园区-臻御府,8500 元/月,89.00㎡,/
整租·融泽嘉园 2室1厅 南,精选,8190 元/月,昌平-回龙观-融泽嘉园,/
整租·左家庄北里 2室1厅 东,朝阳-国展-左家庄北里,7000 元/月,62.00㎡,/
整租·世华泊郡 3室3厅 南,精选,11000 元/月,朝阳-北苑-世华泊郡,/
整租·树村丽景苑 1室1厅 西,精选,6430 元/月,海淀-马连洼-树村丽景苑,/
整租·芍药居甲2号院 1室1厅 西,精选,6460 元/月,朝阳-芍药居-芍药居甲2号院,/
整租·新外大街6号院 2室1厅 南/北,西城-马甸-新外大街6号院,7600 元/月,58.50㎡,/
整租·巧克力城 1室1厅 北,大兴-旧宫-巧克力城,3900 元/月,50.00㎡,/
整租·永泰东里 2室1厅 南,精选,8230 元/月,海淀-清河-永泰东里,/
整租·大龙公寓 2室1厅 东,东城-安贞-大龙公寓,10800 元/月,91.00㎡,/
整租·广安康璟家园 2室1厅 南/北,大兴-旧宫-广安康璟家园,4300 元/月,87.00㎡,/
整租·社会福利院家属楼 2室1厅 西,海淀-清河-社会福利院家属楼,5100 元/月,53.50㎡,/
整租·劲松七区 2室1厅 南/北,朝阳-潘家园-劲松七区,5800 元/月,61.00㎡,/
整租·马坡花园二区 2室1厅 南/北,顺义-马坡-马坡花园二区,4000 元/月,89.00㎡,/
整租·清缘东里 3室1厅 南/北,海淀-清河-清缘东里,10500 元/月,100.00㎡,/
整租·北京经开芯中心 6房间 西南,亦庄开发区-亦庄-北京经开芯中心,8500 元/月,126.57㎡,/
整租·K2十里春风 3室1厅 复式 南/北,通州-通州其它-K2十里春风,1800 元/月,92.65㎡,/
整租·国门智慧城 5房间 复式 南,精选,5400 元/月,顺义-后沙峪-国门智慧城,/
整租·九和苑 1室1厅 北,西城-车公庄-九和苑,9200 元/月,60.00㎡,/
整租·牛街东里 1室1厅 东南,西城-牛街-牛街东里,6700 元/月,56.00㎡,/
整租·金隅丽港城 1室1厅 东,朝阳-望京-金隅丽港城,6500 元/月,56.00㎡,/
整租·IDCITY艾迪城 3房间 复式 东,顺义-后沙峪-IDCITY艾迪城,6800 元/月,62.00㎡,/
整租·运河湾南区 1室1厅 南,通州-武夷花园-运河湾南区,4000 元/月,67.94㎡,/
整租·红石座 1室1厅 北,精选,3890 元/月,昌平-东关-红石座,/
整租·万科紫苑 2房间 南,丰台-青塔-万科紫苑,5500 元/月,72.00㎡,/
整租·沿海赛洛城四期 2房间 东,精选,6000 元/月,朝阳-百子湾-沿海赛洛城四期,/
整租·红杉一品 2室1厅 南/北,顺义-顺义城-红杉一品,4800 元/月,80.00㎡,/
整租·泰禾中央广场 2室1厅 南,精选,4660 元/月,大兴-黄村火车站-泰禾中央广场,/
整租·天时名苑 2室1厅 南,精选,6930 元/月,通州-通州北苑-天时名苑,/
整租·珠江拉维小镇 2室1厅 东/北,通州-潞苑-珠江拉维小镇,4200 元/月,94.00㎡,/
整租·首城国际B区 2室1厅 南,朝阳-双井-首城国际B区,10500 元/月,88.00㎡,/
整租·晨月园 1室1厅 南,海淀-世纪城-晨月园,6400 元/月,57.00㎡,/
整租·安贞西里 1室1厅 南,精选,7690 元/月,朝阳-安贞-安贞西里,/
整租·首开幸福广场 1室0厅 南,精选,9000 元/月,朝阳-工体-首开幸福广场,/
整租·京旺家园 2室1厅 南/北,精选,5800 元/月,朝阳-中央别墅区-京旺家园,/
整租·康泉小区 2室1厅 东,精选,6390 元/月,朝阳-双桥-康泉小区,/
整租·晶城秀府 3室1厅 西南/北,丰台-成寿寺-晶城秀府,9200 元/月,119.47㎡,/
整租·东方雅苑 1室1厅 南,朝阳-大望路-东方雅苑,6200 元/月,45.91㎡,/
整租·长阳半岛怡和路6号院 3室2厅 南/北,房山-长阳-长阳半岛怡和路6号院,9000 元/月,163.25㎡,/
整租·太平家园 2室2厅 南/北,昌平-天通苑-太平家园,6200 元/月,90.00㎡,/
整租·富力丹麦小镇D区 3室1厅 南/北,大兴-大兴新机场-富力丹麦小镇D区,4500 元/月,130.00㎡,/
整租·小关北里 2室1厅 南,精选,7760 元/月,朝阳-惠新西街-小关北里,/
整租·文林大厦 1室1厅 北,海淀-皂君庙-文林大厦,6500 元/月,49.73㎡,/
整租·后永康胡同2号院4号院 1室1厅 东,精选,6190 元/月,东城-东直门-后永康胡同2号院4号院,/
整租·京奥港枫泉花园 2室1厅 南/北,顺义-中央别墅区-京奥港枫泉花园,5300 元/月,75.00㎡,/
整租·翡翠四季A区 4室2厅 南/北,通州-通州其它-翡翠四季A区,13000 元/月,128.56㎡,/
整租·西山国际城 1室1厅 东,精选,6290 元/月,海淀-田村-西山国际城,/
整租·灵秀山庄 2室1厅 南,精选,5890 元/月,大兴-旧宫-灵秀山庄,/
整租·七星园 2室1厅 南/西,石景山-鲁谷-七星园,6100 元/月,86.80㎡,/
整租·靛厂绣园 1室1厅 南,精选,6330 元/月,丰台-六里桥-靛厂绣园,/
整租·国门智慧城 2房间 东,顺义-后沙峪-国门智慧城,3900 元/月,52.12㎡,/
整租·世纪龙祥嘉园 2室1厅 东南,朝阳-奥林匹克公园-世纪龙祥嘉园,7200 元/月,94.00㎡,/
整租·首开知语城 2室1厅 南,朝阳-望京-首开知语城,9000 元/月,76.00㎡,/
整租·蔚园 3室1厅 南/北,丰台-青塔-蔚园,7000 元/月,82.11㎡,/
整租·福润四季B区 2室1厅 南,朝阳-东坝-福润四季B区,5400 元/月,75.26㎡,/
整租·青云南区 3室1厅 南/北,海淀-皂君庙-青云南区,12500 元/月,79.99㎡,/
整租·新光大中心 1室1厅 北,精选,4700 元/月,通州-北关-新光大中心,/
整租·新光大中心 1室1厅 东,精选,6500 元/月,通州-北关-新光大中心,/
整租·北航家属院 1室1厅 南,海淀-知春路-北航家属院,8200 元/月,45.60㎡,/
整租·保利西山林语 2室1厅 南,精选,6790 元/月,海淀-海淀北部新区-保利西山林语,/
整租·旭辉城 3室1厅 南/北,房山-房山其它-旭辉城,3000 元/月,89.00㎡,/
整租·梅源里小区 2室1厅 南,丰台-万源-梅源里小区,4500 元/月,71.00㎡,/
整租·久居雅园 1室0厅 北,通州-临河里-久居雅园,3200 元/月,55.00㎡,/
整租·航天城小区 2室1厅 南,海淀-海淀北部新区-航天城小区,7800 元/月,110.00㎡,/
整租·天畅园 2室2厅 东南/南,朝阳-奥林匹克公园-天畅园,11500 元/月,104.00㎡,/
整租·德茂小区 2室1厅 南/北,大兴-瀛海-德茂小区,3200 元/月,55.00㎡,/
整租·永顺西里 2室1厅 南/北,通州-北关-永顺西里,3500 元/月,63.85㎡,/
整租·润泽公馆 4室2厅 东/南/北,朝阳-北苑-润泽公馆,19500 元/月,169.00㎡,/
整租·苏庄二里 2室1厅 南/北,房山-良乡-苏庄二里,3300 元/月,89.89㎡,/
整租·华严北里小区 2室1厅 南/西,朝阳-健翔桥-华严北里小区,7500 元/月,70.78㎡,/
整租·和平新城一期 1室1厅 东,精选,8260 元/月,东城-和平里-和平新城一期,/
整租·奥北南区 2房间 北,朝阳-立水桥-奥北南区,6800 元/月,59.71㎡,/
整租·富力尚悦居C区 1室0厅 南,通州-通州其它-富力尚悦居C区,3600 元/月,45.93㎡,/
整租·阜成门南大街 3室1厅 东/西/北,西城-月坛-阜成门南大街,12500 元/月,90.40㎡,/
整租·福兴雅苑 2室1厅 南/北,大兴-黄村火车站-福兴雅苑,4200 元/月,99.00㎡,/
整租·八里庄路62号院 2房间 西,精选,6560 元/月,海淀-定慧寺-八里庄路62号院,/
整租·嘉铭桐城C区 2室1厅 西南,朝阳-亚运村小营-嘉铭桐城C区,10000 元/月,110.22㎡,/
整租·新光大中心 2房间 LOFT 南,精选,5200 元/月,通州-北关-新光大中心,/
整租·威尔夏大道 1室1厅 北,精选,4730 元/月,丰台-太平桥-威尔夏大道,/
整租·定安西里 1室1厅 南,精选,5060 元/月,丰台-木樨园-定安西里,/
整租·水岸温泉 1室1厅 南,精选,5230 元/月,海淀-海淀北部新区-水岸温泉,/
整租·安贞西里 1室1厅 南,朝阳-安贞-安贞西里,5400 元/月,41.47㎡,/
整租·溪城家园 2室1厅 南,昌平-立水桥-溪城家园,6000 元/月,76.36㎡,/
整租·东恒时代二期 1室1厅 东北,朝阳-四惠-东恒时代二期,8300 元/月,58.00㎡,/
整租·京粮悦谷首城2号院 2室1厅 南,精选,6930 元/月,丰台-新宫-京粮悦谷首城2号院,/
整租·七燕路1号院 3室1厅 南,精选,6480 元/月,昌平-回龙观-七燕路1号院,/
整租·阜成门外大街甲40号 2室1厅 南/北,西城-月坛-阜成门外大街甲40号,8500 元/月,59.60㎡,/
整租·北回归线 1室1厅 南,精选,6160 元/月,昌平-回龙观-北回归线,/
整租·东亚尚品台湖 2室1厅 西南,精选,3100 元/月,通州-通州其它-东亚尚品台湖,/
整租·民岳家园 1室1厅 东,精选,5530 元/月,丰台-岳各庄-民岳家园,/
整租·东亚环球国际 1房间 西,精选,2000 元/月,通州-通州其它-东亚环球国际,/
整租·海户屯 2室1厅 南,精选,6390 元/月,丰台-大红门-海户屯,/
整租·金茂北京国际社区 2室2厅 南/北,顺义-顺义其它-金茂北京国际社区,3300 元/月,70.00㎡,/
整租·富力华庭苑东区 3室1厅 南/北,大兴-大兴新机场-富力华庭苑东区,3800 元/月,100.78㎡,/
整租·远洋沁山水上品 3室2厅 东/西,石景山-鲁谷-远洋沁山水上品,19000 元/月,122.52㎡,/
整租·六里桥北里 3室1厅 南/北,丰台-六里桥-六里桥北里,9000 元/月,82.00㎡,/
整租·旭辉26街区 3房间 西,精选,4000 元/月,顺义-顺义其它-旭辉26街区,/
整租·龙旗广场 2室1厅 南/北,昌平-回龙观-龙旗广场,6600 元/月,75.00㎡,/
整租·苹果社区南区 3室2厅 南/北,朝阳-双井-苹果社区南区,17500 元/月,171.00㎡,/
整租·东恒时代三期 1室0厅 西,朝阳-四惠-东恒时代三期,6600 元/月,64.00㎡,/
整租·旭辉E天地 1室1厅 西北,精选,3290 元/月,房山-良乡-旭辉E天地,/
整租·长阳半岛怡和路1号院 2室1厅 南,房山-长阳-长阳半岛怡和路1号院,4700 元/月,82.00㎡,/
整租·后南仓 1室1厅 南,通州-万达-后南仓,3200 元/月,51.00㎡,/
整租·远洋一方溪语苑 2室1厅 东南,朝阳-双桥-远洋一方溪语苑,6800 元/月,89.92㎡,/
整租·冠城大通澜石 2室1厅 西南,朝阳-太阳宫-冠城大通澜石,19800 元/月,107.83㎡,/
整租·二里庄小区 1室1厅 东南,精选,7230 元/月,海淀-二里庄-二里庄小区,/
整租·世界侨商中心 1室0厅 东,通州-北关-世界侨商中心,4000 元/月,43.00㎡,/
整租·江山赋 2室1厅 南/北,顺义-后沙峪-江山赋,8500 元/月,97.00㎡,/
整租·旭辉奥都 3房间 南/北,朝阳-北苑-旭辉奥都,8000 元/月,90.00㎡,/
整租·东馨园 3室2厅 南/北,海淀-西北旺-东馨园,9600 元/月,84.00㎡,/
整租·保利春天里 4室2厅 南/北,大兴-天宫院-保利春天里,6000 元/月,96.13㎡,/
整租·金色漫香林二期 2室1厅 南,精选,6730 元/月,大兴-亦庄-金色漫香林二期,/
整租·万科天地 4房间 南,大兴-义和庄-万科天地,4500 元/月,56.44㎡,/
整租·金世纪嘉园 2室1厅 西南,东城-广渠门-金世纪嘉园,8800 元/月,84.51㎡,/
整租·集贤雅苑南区 2室1厅 南/北,大兴-旧宫-集贤雅苑南区,4600 元/月,89.00㎡,/
整租·贵园南里丙区 1室1厅 南,亦庄开发区-亦庄-贵园南里丙区,4200 元/月,54.00㎡,/
整租·京通苑 3室2厅 东北,朝阳-管庄-京通苑,8300 元/月,131.00㎡,/
整租·润泽悦溪 2室1厅 西,精选,8560 元/月,朝阳-北苑-润泽悦溪,/
整租·丰侨公寓 1室0厅 西,西城-金融街-丰侨公寓,11500 元/月,58.00㎡,/
整租·BOBO自由城 2室1厅 南/北,通州-武夷花园-BOBO自由城,4700 元/月,85.00㎡,/
整租·北窑地 2室1厅 南/北,朝阳-大山子-北窑地,5400 元/月,40.68㎡,/
整租·霍营小区 2室1厅 南,精选,5360 元/月,昌平-霍营-霍营小区,/
整租·永泰园新地标 1室1厅 北,精选,7530 元/月,海淀-清河-永泰园新地标,/
整租·安园 1室1厅 北,精选,7260 元/月,朝阳-亚运村-安园,/
整租·融科橄榄城一期 4室2厅 东/南/北,朝阳-望京-融科橄榄城一期,21000 元/月,186.00㎡,/
整租·金庄 2室1厅 西南/北,海淀-四季青-金庄,8300 元/月,75.20㎡,/
整租·凯盛家园 1室1厅 南,海淀-海淀北部新区-凯盛家园,4600 元/月,60.00㎡,/
整租·华清嘉园 1室1厅 西,海淀-五道口-华清嘉园,8200 元/月,51.00㎡,/
整租·山水文园五期 5室1厅 复式 南/北,朝阳-十里河-山水文园五期,55000 元/月,260.00㎡,/
整租·南平里 2室1厅 南,精选,4160 元/月,朝阳-首都机场-南平里,/
整租·石坊院 1室1厅 南,昌平-鼓楼大街-石坊院,3000 元/月,41.42㎡,/
整租·龙博苑三区 1室1厅 南,昌平-回龙观-龙博苑三区,5600 元/月,59.00㎡,/
整租·农丰里 2室1厅 南,精选,8290 元/月,朝阳-东大桥-农丰里,/
整租·双兴南区 3室2厅 南/北,顺义-顺义城-双兴南区,4200 元/月,105.00㎡,/
整租·石龙北路27号院 2室1厅 南,门头沟-门头沟其它-石龙北路27号院,3000 元/月,67.00㎡,/
整租·华英园 2室1厅 南/北,顺义-顺义其它-华英园,4200 元/月,99.99㎡,/
整租·翠成馨园C区 1室1厅 南,精选,5290 元/月,朝阳-垡头-翠成馨园C区,/
整租·首邑溪谷 2室1厅 南/北,大兴-枣园-首邑溪谷,4500 元/月,46.67㎡,/
整租·海淀路小区 2室1厅 南,海淀-圆明园-海淀路小区,8300 元/月,43.90㎡,/
整租·安贞西里 3室1厅 南/北,朝阳-安贞-安贞西里,9800 元/月,73.40㎡,/
整租·方庄南路18号院 3室1厅 南/北,丰台-成寿寺-方庄南路18号院,7800 元/月,95.00㎡,/
整租·地杰长安驿 2室1厅 西,朝阳-建国门外-地杰长安驿,14000 元/月,109.90㎡,/
整租·东亚创展国际 2房间 北,精选,3860 元/月,顺义-后沙峪-东亚创展国际,/
整租·盛德紫阙 3室2厅 东/西,东城-和平里-盛德紫阙,22500 元/月,146.00㎡,/
整租·安德路55号院 2室1厅 东,精选,7030 元/月,东城-安定门-安德路55号院,/
整租·向军南里 1室1厅 西南,精选,7190 元/月,朝阳-东大桥-向军南里,/
整租·金色漫香林二期 2室1厅 南,精选,6330 元/月,大兴-亦庄-金色漫香林二期,/
整租·蓝天苑 3室1厅 南/北,顺义-首都机场-蓝天苑,3000 元/月,110.00㎡,/
整租·棕榈泉国际公寓 3室2厅 东/南/北,朝阳-朝阳公园-棕榈泉国际公寓,30000 元/月,181.00㎡,/
整租·玉桃园三区 1室1厅 东,精选,7430 元/月,西城-西直门-玉桃园三区,/
整租·棕榈泉国际公寓 2室2厅 南/北,朝阳-朝阳公园-棕榈泉国际公寓,26000 元/月,176.00㎡,/
整租·东风家园 2室1厅 南,朝阳-朝阳公园-东风家园,7000 元/月,90.97㎡,/
整租·南十里居 2室1厅 南/北,朝阳-朝阳公园-南十里居,5000 元/月,54.00㎡,/
整租·亮马水晶 1室1厅 东北,朝阳-朝阳公园-亮马水晶,6900 元/月,69.00㎡,/
整租·常楹公元自由派 2房间 东,精选,5890 元/月,朝阳-常营-常楹公元自由派,/
整租·富源里 2室1厅 南,精选,5890 元/月,亦庄开发区-亦庄-富源里,/
整租·太阳公元北区 3室1厅 南/北,朝阳-太阳宫-太阳公元北区,24000 元/月,137.56㎡,/
整租·新纪家园 2室1厅 东,朝阳-太阳宫-新纪家园,9000 元/月,86.00㎡,/
整租·万年花城三期 1室1厅 东,精选,5890 元/月,丰台-玉泉营-万年花城三期,/
整租·半岛国际公寓 2室1厅 西北,朝阳-太阳宫-半岛国际公寓,12500 元/月,110.00㎡,/
整租·火星园 2室1厅 南,朝阳-太阳宫-火星园,15000 元/月,99.00㎡,/
整租·火星园 2室1厅 南/北,朝阳-太阳宫-火星园,12000 元/月,102.00㎡,/
整租·太阳公元北区 3室1厅 南/北,朝阳-太阳宫-太阳公元北区,18000 元/月,92.00㎡,/
整租·壹线国际 2室1厅 东,精选,7990 元/月,朝阳-四惠-壹线国际,/
整租·新光大中心 1室1厅 西北,精选,4600 元/月,通州-北关-新光大中心,/
整租·火星园 2室1厅 南,朝阳-太阳宫-火星园,14000 元/月,96.20㎡,/
整租·安华西里社区 1室1厅 南,精选,6730 元/月,朝阳-安贞-安华西里社区,/
整租·和泰园 2室2厅 南,朝阳-太阳宫-和泰园,10500 元/月,110.20㎡,/
整租·八里庄南里 2室1厅 南/北,朝阳-十里堡-八里庄南里,6600 元/月,55.00㎡,/
整租·肖家河新村东区 1室1厅 南,精选,7230 元/月,海淀-马连洼-肖家河新村东区,/
整租·八里庄南里 2室1厅 南/北,朝阳-十里堡-八里庄南里,6300 元/月,61.82㎡,/
整租·十里堡北里 3室1厅 东/南/北,朝阳-十里堡-十里堡北里,5500 元/月,61.97㎡,/
整租·茶贸国际中心 1室1厅 西,精选,5030 元/月,西城-马连道-茶贸国际中心,/
整租·甘露西园 2室1厅 东/北,朝阳-十里堡-甘露西园,5500 元/月,75.00㎡,/
整租·八里庄南里 2室1厅 南,朝阳-十里堡-八里庄南里,7300 元/月,70.00㎡,/
